STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA CTRY,Region,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,UNIT_MULTIPLIER,UNIT_MEASURE,OBS_STATUS,OBS_CONF,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,TIME_PERIOD_METHOD,REF_PERIOD,COVERAGE_TIME,AGE
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MCO,4,PT_CHLD_Y0T4_REG,_T,2020,100,,PCNT,E,,,,,Estimated coverage of birth registration was obtained on the basis of the reported completeness of the national civil registration system,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","UNSD Population and Vital Statistics Report, January 2021, latest update on 4 Jan 2022",,,EOF,,2020,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MNG,6,PT_CHLD_Y0T4_REG,F,2018,99.6,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2018,,,EOF,,2018,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MNG,6,PT_CHLD_Y0T4_REG,_T,2018,99.6,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2018,,,EOF,,2018,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MNG,6,PT_CHLD_Y0T4_REG,M,2018,99.6,,PCNT,RP,,,,,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",MICS 2018,,,EOF,,2018,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BWA,3,PT_CHLD_Y0T4_REG,F,2021,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",Vital statistics 2021,,,EOF,,2021,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BWA,3,PT_CHLD_Y0T4_REG,_T,2021,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",Vital statistics 2021,,,EOF,,2021,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,BWA,3,PT_CHLD_Y0T4_REG,M,2021,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",Vital statistics 2021,,,EOF,,2021,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MSR,3,PT_CHLD_Y0T4_REG,_T,2017,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","National Civil Authority, Registry Department, 2017",,,EOF,,2017,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MSR,3,PT_CHLD_Y0T4_REG,F,2017,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","National Civil Authority, Registry Department, 2017",,,EOF,,2017,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MSR,3,PT_CHLD_Y0T4_REG,M,2017,100,,PCNT,RP,,,,,Births registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.","National Civil Authority, Registry Department, 2017",,,EOF,,2017,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MAR,2,PT_CHLD_Y0T4_REG,_T,2018,96.9,,PCNT,RP,,,,,Data refers to live births that occurred in the five years preceding the survey that were registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",ENPSF 2018,,,EOF,,2018,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MAR,2,PT_CHLD_Y0T4_REG,M,2018,96.8,,PCNT,RP,,,,,Data refers to live births that occurred in the five years preceding the survey that were registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",ENPSF 2018,,,EOF,,2018,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MAR,2,PT_CHLD_Y0T4_REG,F,2018,97,,PCNT,RP,,,,,Data refers to live births that occurred in the five years preceding the survey that were registered,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",ENPSF 2018,,,EOF,,2018,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MOZ,3,PT_CHLD_Y0T4_REG,M,2023,32,,PCNT,RP,,,,,Two selected EAs in rural areas of Cabo Delgado and Zambezia provinces were not visited due to security concerns.,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",DHS 2022-23,,,EOF,,2022-23,Y0T4
dataflow,UNICEF:GLOBAL_DATAFLOW(1.0),I,MOZ,3,PT_CHLD_Y0T4_REG,_T,2023,31.3,,PCNT,RP,,,,,Two selected EAs in rural areas of Cabo Delgado and Zambezia provinces were not visited due to security concerns.,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",DHS 2022-23,,,EOF,,2022-23,Y0T4
